"b","loglik","loglik.se","delta.loglik","cea","cel","cpa","mu_A","mu_L","tau_E","tau_L","tau_P","od"
1.17,-7395.50298746518,0.103743849636689,2.25606912618332,0.0198703722463832,0.0165725052564981,0.0150116454410202,7.34729786622912e-06,0.186116280775017,13.1049917488721,13.2493265829707,39.5403735527919,1.6372512392338
1.18,-7395.81399760385,0.220229415517809,0.0990814224405767,0.0195841632673035,0.0117809482831492,0.00864414915191641,6.92514643912965e-06,0.227161951974464,13.4504962402167,12.6423896289235,40.1163112969984,1.58253910979675
1.19,-7395.00812513753,0.137639405175175,4.41275401758594,0.020613274672364,0.0130368806734189,0.0188839441311656,7.81854321124925e-07,0.187855312260693,13.3078180249976,12.1914374586579,39.0557755538673,1.57801589177741
1.2,-7394.24737470327,0.181132967530775,-7394.24737470327,0.0204439149257179,0.0146532918849414,0.0151003177354203,7.30972637900954e-05,0.191945900918708,12.7466187404803,12.2827861447297,36.324901259547,1.54354734054764
1.21,-7396.45207088145,0.193824319132102,-7396.45207088145,0.0206997203872567,0.012492651768969,0.0104647043025914,0.000707629304492957,0.217468375210579,13.4919651552993,12.4871861904153,41.3777450840364,1.60563691630953
1.22,-7395.5029519204,0.144690506602157,0.0401305145433071,0.0210817186670814,0.0139354547094715,0.0125756305303023,1.20912305378393e-05,0.211589499431491,13.4545737686655,12.5977589951511,38.1889410939174,1.61075644269931
1.23,-7396.05990503476,0.162213248309732,-1.82016710964945,0.0213465850310664,0.0145567641489663,0.0156699817072719,0.000462612424931372,0.195737631175931,12.5325754224785,12.4321839119749,37.8282176202818,1.60002420458077
1.24,-7394.90783726116,0.130904331608815,0.463416715591848,0.0210184692711646,0.0126130318861528,0.0146555027548239,2.17759000619743e-05,0.197510005257212,13.7974575426842,12.2304308258007,36.2245054502603,1.61446149072478
1.25,-7393.97662131857,0.34278556273678,-7393.97662131857,0.0168850157106557,0.0265011914139902,0.0442736875829043,3.04958440429261e-05,8.47116670022271e-05,11.0694638348242,12.215058494359,17.9193927701189,1.50836379049808
1.26,-7394.16699251752,0.164818695145395,0.567126668634046,0.0185496953550745,0.023955730856429,0.0561983254367832,6.95656469121302e-05,2.85210355182676e-06,11.518918628324,12.050229926349,18.7370895893848,1.50744028755362
1.27,-7395.82066773193,0.171534706917267,-0.353656951932862,0.017126831200535,0.0228288346309558,0.0611494755176901,3.64446375824834e-05,4.48206910975915e-07,11.330417732341,11.9954031183755,19.2383608934853,1.53310966053511
